motor_id,pair_id,row,col,layer,layer_code,plane_code,plane_name,esc_type,motor_index,host_index,controller,controller_index,channel,channel_index,pico_pwm_pin,signed_alias,location
B45,P45,6,5,Back,B,BP,Back Plane,T-MOTOR AIR 40,108,108,C07,6,CH6,5,GP5,-45,R6C5B
B46,P46,6,6,Back,B,BP,Back Plane,T-MOTOR AIR 40,109,109,C15,14,CH6,5,GP5,-46,R6C6B
B47,P47,6,7,Back,B,BP,Back Plane,T-MOTOR AIR 40,110,110,C15,14,CH8,7,GP7,-47,R6C7B
B48,P48,6,8,Back,B,BP,Back Plane,T-MOTOR AIR 40,111,111,C07,6,CH8,7,GP7,-48,R6C8B
B49,P49,7,1,Back,B,BP,Back Plane,T-MOTOR AIR 40,112,112,C04,3,CH2,1,GP1,-49,R7C1B
B50,P50,7,2,Back,B,BP,Back Plane,T-MOTOR AIR 40,113,113,C12,11,CH2,1,GP1,-50,R7C2B
B51,P51,7,3,Back,B,BP,Back Plane,T-MOTOR AIR 40,114,114,C12,11,CH4,3,GP3,-51,R7C3B
B52,P52,7,4,Back,B,BP,Back Plane,T-MOTOR AIR 40,115,115,C04,3,CH4,3,GP3,-52,R7C4B
B53,P53,7,5,Back,B,BP,Back Plane,T-MOTOR AIR 40,116,116,C08,7,CH2,1,GP1,-53,R7C5B
B54,P54,7,6,Back,B,BP,Back Plane,T-MOTOR AIR 40,117,117,C16,15,CH2,1,GP1,-54,R7C6B
B55,P55,7,7,Back,B,BP,Back Plane,T-MOTOR AIR 40,118,118,C16,15,CH4,3,GP3,-55,R7C7B
B56,P56,7,8,Back,B,BP,Back Plane,T-MOTOR AIR 40,119,119,C08,7,CH4,3,GP3,-56,R7C8B
B57,P57,8,1,Back,B,BP,Back Plane,T-MOTOR AIR 40,120,120,C04,3,CH6,5,GP5,-57,R8C1B
B58,P58,8,2,Back,B,BP,Back Plane,T-MOTOR AIR 40,121,121,C12,11,CH6,5,GP5,-58,R8C2B
B59,P59,8,3,Back,B,BP,Back Plane,T-MOTOR AIR 40,122,122,C12,11,CH8,7,GP7,-59,R8C3B
B60,P60,8,4,Back,B,BP,Back Plane,T-MOTOR AIR 40,123,123,C04,3,CH8,7,GP7,-60,R8C4B
B61,P61,8,5,Back,B,BP,Back Plane,T-MOTOR AIR 40,124,124,C08,7,CH6,5,GP5,-61,R8C5B
B62,P62,8,6,Back,B,BP,Back Plane,T-MOTOR AIR 40,125,125,C16,15,CH6,5,GP5,-62,R8C6B
B63,P63,8,7,Back,B,BP,Back Plane,T-MOTOR AIR 40,126,126,C16,15,CH8,7,GP7,-63,R8C7B
B64,P64,8,8,Back,B,BP,Back Plane,T-MOTOR AIR 40,127,127,C08,7,CH8,7,GP7,-64,R8C8B
